Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Bearspaw Chapel,Gateway Stake,33,23,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,34,10,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,37,17,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,47,20,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,98 & 101 Av,15,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Argyl 2,15,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ottowell 3,15,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,76 Av - 96th,15,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bonnie Doon Stake Centre,Bonnie Doon Stake,101 St - 84 Av - 97 St - 85 Av - 99 St,20,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bonnie Doon Stake Centre,Bonnie Doon Stake,King Edward Park 3,21,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Riverdale 2,100,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bearspaw Chapel,Bonnie Doon Stake,AD5,58,Yes,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,7,30,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Communities Outside Edmonton,Gateway Stake,7,11,Yes,Wainwright Branch,WAINWRIGHT BRANCH,53.54445,-113.49091,
